id	title	publisher	perspective	domains	kind	languages	format	url	bytes	license	license_url	access	update	checksum_url	homepage	verified	recommend	notes
lcsh	Library of Congress Subject Headings (LCSH), SKOS/RDF bulk export (N-Triples)	Library of Congress (id.loc.gov Linked Data Service)	US Library of Congress (national library, USA; Anglo-American cataloguing tradition)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	1	skos-nt	https://id.loc.gov/download/authorities/subjects.skosrdf.nt.gz	100520866	Public domain: 'The Library of Congress has prepared this linked data system and is making it available as a public domain data set'	https://id.loc.gov/about/	open	Regenerated regularly; this file dct:issued 2026-09-22, dct:modified 2026-09-23 (per the .json info file); Last-Modified 2026-09-23	https://id.loc.gov/download/authorities/subjects.skosrdf.nt.json	https://id.loc.gov/authorities/subjects.html	HEAD 200 2026-09-25	yes	303 redirect to https://lds-downloads.s3.amazonaws.com/authorities/subjects.skosrdf.nt.gz. Valid N-Triples with '# BEGIN /authorities/subjects/shNNN' and '# END' comment lines around each record. skos:Concept in scheme <http://id.loc.gov/authorities/subjects>; skos:prefLabel and skos:altLabel (@en; alt labels also as skos-xl:altLabel/literalForm nodes); skos:broader/narrower/related; skos:note, skos:editorialNote, skos:example, skos:historyNote; skos:notation carries MARC geographic area codes (datatype .../codes/gac), not class numbers; skos:changeNote -> changeset blank nodes (skip). No external mappings in this file: LC Classification numbers exist only in the MADS/RDF export (madsrdf:classification -> id.loc.gov/authorities/classification/<number>; subjects.madsrdf.nt.gz, ~231 MB per the page), and links to Wikidata, DNB/GND, TGM and others are in https://id.loc.gov/download/externallinks.nt.zip (287,330,097 bytes, Last-Modified 2026-09-25). Fixity caveat: the SHA-1 in the .json info file is computed over the DECOMPRESSED .nt, not the .gz it is attached to (checked on the LCGFT and Children's files today); for single-part uploads the S3 ETag equals the MD5 of the .gz. Mapping target of GND, RAMEAU, NDLSH, YSO, NALT, AAT and Homosaurus rows, so it is the crosswalk hub for this cluster. HTML pages under id.loc.gov (except /download/ and /about/) answered 403 to this container.
lcc-mdsconnect	Library of Congress Classification (LCC), MDSConnect MARCXML classification records (2016 retrospective)	Library of Congress, Cataloging Distribution Service	US Library of Congress (national library, USA); a shelf classification grown from LC's own collection	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	1	xml	https://www.loc.gov/cds/downloads/MDSConnect/Class.2016.part01.xml.gz	32816878	No cost; MDSConnect sets are 'designated primarily for research, education and development use'; 'we encourage you to use the data for research, educational and development purposes' and attribution to LC is appreciated (MDSConnect FAQ)	https://www.loc.gov/cds/PDFdownloads/MDSConnect_FAQs.pdf	open	Static retrospective set (2016; Last-Modified 2019-06-21); FAQ 'anticipate annual updates' but none posted; current LCC only in Classification Web (subscription) or as free PDF schedules (data selected May 2024)		https://www.loc.gov/cds/products/MDSConnect-classification.html	HEAD 200 2026-09-25	no	id.loc.gov offers NO bulk LC Classification download (its /download/ page lists none; the 'LCC A...Z' files there are experimental Amazon Titan vector embeddings grouped by LCC class letter, not the schedules). This file is the MARC 21 Classification format in MARCXML (namespace http://www.loc.gov/MARC21/slim, one <record> per number, leader type w): 153 $a number or span, repeatable $h = captions of the hierarchy above, $j = caption; also 680 scope notes, 683 instructions, 253/353 see/see-also references, 453/553 number tracings, 753 index terms, 761-763 table instructions (tags counted in the first 4,342 records). No parent pointer: rebuild the tree from the $h chain and number ranges. Same page lists a UTF-8 MARC twin (Class.2016.part01.utf8.gz, 29,879,560 bytes) and a 2014 set. 'no' because it is ten years stale, needs a MARC-classification parser, and the FAQ wording limits the intended use; the repo already holds LCC top classes. Free current PDFs: https://www.loc.gov/aba/publications/FreeLCC/freelcc.html (not machine-readable).
lcgft	Library of Congress Genre/Form Terms (LCGFT), SKOS/RDF bulk export (N-Triples)	Library of Congress (id.loc.gov Linked Data Service)	US Library of Congress (national library, USA; Anglo-American cataloguing tradition)	acat/arts;acat/language;acat/past;acat/belief;acat/everyday	thesaurus	1	skos-nt	https://id.loc.gov/download/authorities/genreForms.skosrdf.nt.gz	762947	Public domain: 'The Library of Congress has prepared this linked data system and is making it available as a public domain data set'	https://id.loc.gov/about/	open	Regenerated regularly; this file dct:issued 2026-09-22, dct:modified 2026-09-23 (per the .json info file)	https://id.loc.gov/download/authorities/genreForms.skosrdf.nt.json	https://id.loc.gov/authorities/genreForms.html	HEAD 200 2026-09-25	yes	2,685 skos:Concept (downloaded and counted): skos:prefLabel/altLabel @en (+ skos-xl altLabel nodes), skos:broader/narrower (poly-hierarchy), skos:note, skos:historyNote, rdfs:seeAlso; record comments '# BEGIN/# END' as in LCSH. Genre/form = what a work IS (e.g. oral histories, folk tales, sacred texts) rather than what it is about: a separate facet from topical LCSH. No external mappings in the file (see externallinks.nt.zip in the lcsh row). Fixity caveat: the SHA-1 in the .json info file is computed over the DECOMPRESSED .nt, not the .gz it is attached to (checked on the LCGFT and Children's files today); for single-part uploads the S3 ETag equals the MD5 of the .gz. Related LC vocabularies on the same page: LC Demographic Group Terms (demographicTerms.skosrdf.nt.gz, 675,456 bytes) and Medium of Performance (LCMPT).
lc-childrens-subjects	Library of Congress Children's Subject Headings (CYAC), SKOS/RDF bulk export (N-Triples)	Library of Congress (id.loc.gov Linked Data Service)	US Library of Congress, Children's and Young Adults' Cataloging Program (USA)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	1	skos-nt	https://id.loc.gov/download/authorities/childrensSubjects.skosrdf.nt.gz	3970866	Public domain: 'The Library of Congress has prepared this linked data system and is making it available as a public domain data set'	https://id.loc.gov/about/	open	Regenerated regularly; this file dct:issued 2026-09-22, dct:modified 2026-09-23 (per the .json info file)	https://id.loc.gov/download/authorities/childrensSubjects.skosrdf.nt.json	https://id.loc.gov/authorities/childrensSubjects.html	HEAD 200 2026-09-25	no	20,929 resources typed skos:Concept, of which 13,192 carry skos:inScheme childrensSubjects (the others are referenced main-LCSH concepts); skos:prefLabel/altLabel @en (+ skos-xl), skos:broader/narrower/related, skos:editorialNote/note. Plain-language adjustments of LCSH for juvenile material: useful as extra English alt labels, low unique coverage, hence 'no'. Fixity caveat: the SHA-1 in the .json info file is computed over the DECOMPRESSED .nt, not the .gz it is attached to (checked on the LCGFT and Children's files today); for single-part uploads the S3 ETag equals the MD5 of the .gz.
fast-topical	FAST (Faceted Application of Subject Terminology), Topical facet, N-Triples	OCLC Research	OCLC (library cooperative, Dublin, Ohio, USA); a faceted simplification of LCSH	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	1	rdf-nt	https://researchworks.oclc.org/researchdata/fast/FASTTopical.nt.zip		Open Data Commons Attribution License (ODC-By); required attribution line given on the download page	https://www.oclc.org/research/areas/data-science/fast/download.html	open	Irregular; the page states 'FAST was last updated on 10 October 2024'		https://www.oclc.org/research/areas/data-science/fast.html	403 2026-09-25 (Cloudflare 'Attention Required' challenge on HEAD and on GET-range; the download page itself answered 200)	no	The download page lists 'RDF (Linked Data Format N-Triples)' zips per facet: Topical (.zip: 46MB), Geographic (28MB), FormGenre (343k), Chronological (48k), Event (2MB), Meeting, Corporate Names, Personal Names, Uniform Titles, and All Files (266MB); the same split exists as MARC XML and ISO MARC. bytes is empty because no probe got through; the publisher's listing says ~46 MB. File contents could not be inspected from this container: check predicates (labels, broader/related, links back to the LCSH source headings) on first download. 'no' because FAST is derived from LCSH (little unique coverage), was last updated Oct 2024, and is blocked here; FAST Geographic could still serve as a 'where' facet.
gnd-subjects	GND (Gemeinsame Normdatei), subject terms (Sachbegriffe) subset, RDF Turtle	Deutsche Nationalbibliothek (DNB)	Deutsche Nationalbibliothek with the German-language library networks (Germany, Austria, Switzerland)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	1	rdf-ttl	https://data.dnb.de/opendata/authorities-gnd-sachbegriff_lds.ttl.gz	24119388	CC0 1.0: 'Metadata is provided under Creative Commons Zero (CC0 1.0) terms, unless otherwise stated'; every record carries dcterms:license CC0	https://data.dnb.de/opendata/	open	Periodic full dumps; current 'Stand 17.02.2026', posted 2026-03-02	https://data.dnb.de/opendata/001_Pruefsumme_Checksum.txt	https://www.dnb.de/gnd	HEAD 200 2026-09-25	yes	Stable link = dated file authorities-gnd-sachbegriff_lds_20260217.ttl.gz; its SHA-256 fa220da1be0f0582... is listed under the dated name in 001_Pruefsumme_Checksum.txt and matched my download. 207,505 records. Also offered as RDF/XML (.rdf.gz, 24,436,065 bytes) and JSON-LD; the whole GND only as 2.4 GB N-Triples/HDT. Vocabulary is GNDO, not SKOS: label gndo:preferredNameForTheSubjectHeading, variants gndo:variantNameForTheSubjectHeading (untagged literals, mostly German), hierarchy gndo:broaderTermGeneral/broaderTermGeneric/broaderTermPartitive/broaderTermInstantial, gndo:relatedTerm, notes gndo:definition and gndo:usingInstructions, gndo:gndSubjectCategory (GND-Systematik, d-nb.info/standards/vocab/gnd/gnd-sc#...), gndo:relatedDdcWithDegreeOfDeterminacyN (dewey.info classes); record metadata on <.../about> nodes. Mappings: skos:closeMatch/exactMatch/broadMatch/relatedMatch to LCSH, RAMEAU (data.bnf.fr), BNE (datos.bne.es), STW (zbw.eu), TheSoz (old lod.gesis.org URIs), AGROVOC, MeSH, Getty, BNCF; owl:sameAs to Wikidata. Text is UTF-8 DECOMPOSED (NFD) per DNB: normalise to NFC. Target URIs mix http and https (e.g. https://id.loc.gov/... here, http://id.loc.gov/... in LCSH): normalise before joining. The same directory has CC BY 4.0 MACS mapping files (GND-LCSH-RAMEAU, 5,319,179 bytes NT; also GND-MeSH, GND-AGROVOC, GND-EMBNE, GND-Nuovo soggettario).
rameau	RAMEAU (Répertoire d'autorité-matière encyclopédique et alphabétique unifié), data.bnf.fr SKOS dump	Bibliothèque nationale de France (data.bnf.fr)	Bibliothèque nationale de France (national library, France; francophone library network)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	1	skos-nt	https://pef.bnf.fr/link/539d6d59-c2e3-4e17-b24c-d8a83ca11944	58978443	Licence Ouverte / Open Licence (Etalab) for data.bnf.fr RDF: free reuse keeping the source 'Bibliothèque nationale de France' and the retrieval date	https://www.bnf.fr/fr/conditions-de-reutilisations-des-donnees-de-la-bnf	open	Dumps refreshed periodically (files on the share dated 2026-05-28)		https://api.bnf.fr/fr/dumps-de-databnffr	GET 200 2026-09-25 (share page; file via JSF POST then GET /link/godrivedownload: 200 with Content-Length 58978443, stopped after 256 KB)	yes	No stable direct file URL: the url is the BnF file-share listing (linked from api.bnf.fr 'Accès aux dumps'). To download: GET the share page with a cookie jar; POST form 'fileList' (fileList_SUBMIT=1, javax.faces.ViewState from the page, and the file's command-link id, e.g. fileTable:55:j_id_2f for databnf_rameau_nosubjects_nt.tar.gz; match by file name, ids can shift) to https://pef.bnf.fr/webclient/godrive/PublicGoDrive.xhtml; the 302 leads to https://pef.bnf.fr/link/godrivedownload, which streams the file. The tar holds 200 N-Triples parts databnf_rameau_nosubjects__skos_000001.nt ... Variants: databnf_rameau_nt.tar.gz (132,511,753 bytes; the difference from 'nosubjects' is not documented on the pages read), RDF/XML (50.24 MB) and N3. SKOS: skos:prefLabel/altLabel (@fr), skos:broader/narrower/related, skos:scopeNote/editorialNote/note, bnf-onto:domaine (RAMEAU domain codes), owl:sameAs (ark URIs), rdfs:seeAlso, foaf:page; mappings skos:closeMatch/exactMatch/relatedMatch to Dewey (dewey.info), LCSH, GND, BNE, BNCF, AGROVOC, MeSH, Wikidata, DBpedia-fr. Parts also contain non-concept triples (virtual exhibitions with foaf:depiction, dcterms:subject) to skip. More alignments: databnf_externalrefs_nt.tar.gz (117.97 MB). LICENCE.txt on the share (Latin-1) states the RDF 'licence ouverte'.
ndlsh	NDLSH, National Diet Library Subject Headings (Web NDL Authorities), RDF/XML bulk file	National Diet Library (Japan)	National Diet Library (national library, Japan)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	subject-headings	2	skos-rdfxml	https://id.ndl.go.jp/auth/data/download/ndlsh-rdf.zip	4213477	Web NDL Authorities terms of use: 'may be reused either for profit or for non-profit activities without prior application'; indicate that the data was obtained from Web NDL Authorities; NDL holds the copyright	https://id.ndl.go.jp/information/use_en/	open	Daily: 'additions, corrections, and deletions are automatically updated daily' (file Last-Modified 2026-09-25)		https://id.ndl.go.jp/information/download_en/	HEAD 200 2026-09-25	yes	Zip holds ndlsh-rdf-1.rdf ... ndlsh-rdf-5.rdf (38.9 MB). Scope: topical terms, some proper-name subjects and subdivisions (no personal or corporate names). SKOS-XL: skos:Concept with xl:prefLabel/xl:altLabel -> rdf:Description nodes holding xl:literalForm (untagged Japanese) and ndl:transcription @ja-Kana and @ja-Latn readings; English variants appear as untagged xl:altLabel literal forms; rdfs:label repeats the heading. skos:broader/narrower/related, skos:note, dct:source, skos:historyNote. Mappings: skos:closeMatch/exactMatch to LCSH (id.loc.gov/authorities/subjects), skos:relatedMatch to NDC9, NDC10 and NDLC classes (id.ndl.go.jp/class/...), owl:sameAs label-URI aliases. Tab-delimited twin ndlsh-tsv.zip (2,621,301 bytes; 18 columns incl. LCSH LCCN, NDC9, NDC10, NDLC, BSH4). NDLGFT genre/form terms are a separate TSV (not updated daily). NDL warns the authority data includes personal information.
ndc9-jla	NDC 9th edition (Nippon Decimal Classification), NDC-LD Turtle	Japan Library Association (JLA) Classification Committee, from joint research with the National Diet Library	Japan Library Association (Japan's standard library classification)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	2	skos-ttl	https://www.jla.or.jp/wp/wp-content/uploads/2025/06/ndc9.zip	1082504	CC BY ('クリエイティブ・コモンズ・ライセンスのCC-BYで公開します'; licence version not stated)	https://www.jla.or.jp/committees/bunrui/ndc-data/	open	Static: NDC 9th edition (ndc9.ttl dated 2019-02-22; zip re-posted 2025-06); the 10th edition data is not open		https://www.jla.or.jp/committees/bunrui/ndc-data/	HEAD 200 2026-09-25	yes	Zip holds ndc9.ttl (7.6 MB). 12,387 classes with skos:notation, skos:prefLabel @ja (12,385) and @en (only 1,723), rdfs:label with context; skos:broader/narrower, skos:related, skos:note; ndcv:indexedTerm blank nodes (relative-index terms: xl:literalForm + ndl:transcription katakana, ~9.7k); skos:relatedMatch to NDLSH (7,740, http://id.ndl.go.jp/auth/ndlsh/...); skos:Collection + ndcv:memberRange for number ranges; dct:isVersionOf http://jla.or.jp/data/ndc#<notation> (edition-independent). URIs http://jla.or.jp/data/ndc9#<notation>. JLA notes the data follows the machine-readable (MRDF) edition without its later corrections and leaves out auxiliary tables and unused items. ndc8.zip (NDC 8th ed.) is on the same page. A non-Western decimal classification whose top classes differ from DDC/UDC.
yso	YSO, General Finnish Ontology (Finto), SKOS RDF/XML	National Library of Finland (Finto)	National Library of Finland with SeCo and the Finnish Terminology Centre TSK (Finland; Finnish, Swedish and Northern Sámi)	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	ontology	4	skos-rdfxml	https://api.finto.fi/download/yso/yso-skos.rdf	58531320	CC BY 4.0	https://finto.fi/yso/en/	open	Continuous; export regenerated (Last-Modified 2026-09-25)		https://finto.fi/yso/en/	HEAD 200 2026-09-25	yes	Linked from https://finto.fi/yso/en/ as rest/v1/yso/data?format=application/rdf%2Bxml (302 to this file); Turtle twin yso-skos.ttl (26,149,449 bytes). skos:Concept with skos:prefLabel/altLabel/hiddenLabel in fi, sv, en and Northern Sámi (tagged both 'se' and 'sme': normalise), ysometa:singularPrefLabel/singularAltLabel; skos:broader/narrower/related; skos:scopeNote/definition/note; thematic groups as collections (skos:member); deprecated concepts with owl:deprecated, dct:isReplacedBy, ysometa:deprecatedBroader etc. Mappings: skos:closeMatch to Wikidata and LCSH, skos:exactMatch to YSA and Allärs (www.yso.fi). Place names live in the separate YSO places (yso-paikat) vocabulary.
