id	title	publisher	perspective	domains	kind	languages	format	url	bytes	license	license_url	access	update	checksum_url	homepage	verified	recommend	notes
geonames-countryinfo	GeoNames country information (countryInfo.txt)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/countryInfo.txt	31678	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	UTF-8 TSV; comment lines start with '#', the last comment line is the header; 252 data rows. Columns: ISO (alpha-2), ISO3, ISO-Numeric (ISO 3166-1 numeric = UN M49 code for countries -> join space/m49-NNN), fips, Country (English only), Capital, Area(in sq km), Population, Continent (AF AS EU NA OC SA AN; continent geonameids are in readme.txt), tld, CurrencyCode, CurrencyName, Phone, Postal Code Format, Postal Code Regex, Languages (comma list of ISO 639 / BCP 47-like tags, most spoken first, e.g. 'zh-TW,zh,nan,hak'), geonameid (joins all other GeoNames files), neighbours (alpha-2 list -> 'borders' relation), EquivalentFipsCode. Carries historical and non-ISO rows: CS Serbia and Montenegro (891), AN Netherlands Antilles (530), XK Kosovo with numeric 0 - map deliberately. Population/area are GeoNames figures, not an official baseline.
geonames-admin1	GeoNames first-order administrative divisions (admin1CodesASCII.txt)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/admin1CodesASCII.txt	151583	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	UTF-8 TSV, no header, 3,865 rows: code ('CC.ADM1', e.g. TR.34), name, name ascii, geonameid. The ADM1 part is mostly a FIPS 10-4 code, not ISO 3166-2 (ISO codes only for US, CH, BE, ME; GB and GR use an extra level); get ISO 3166-2 from naturalearth-admin1 (iso_3166_2) or debian-iso-codes. Parent = the country (countryInfo geonameid); children found through the admin1 code column of the cities/allCountries files. Names are the English/ASCII display names only.
geonames-admin2	GeoNames second-order administrative divisions (admin2Codes.txt)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/admin2Codes.txt	2375171	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	UTF-8 TSV, no header, 47,643 rows: concatenated code 'CC.ADM1.ADM2' (e.g. US counties), name (UTF-8), asciiname, geonameid. Parent = the admin1 row with the same CC.ADM1 prefix. Coverage is uneven by country (some countries have no ADM2 level in GeoNames). adminCode5.zip (geonameId, adm5code) exists separately for the newer ADM5 level.
geonames-cities15000	GeoNames places with population > 15,000 or capitals (cities15000.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/cities15000.zip	3359528	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	zip holds cities15000.txt, UTF-8 TSV, no header, 34,149 rows today (readme says ca 25,000), 19 columns of the 'geoname' table: geonameid, name (UTF-8), asciiname, alternatenames (comma-separated, NO language tags - use geonames-alternatenames-v2 for tagged names), latitude, longitude (WGS84 decimal), feature class, feature code, country code (ISO 3166-1 alpha-2), cc2, admin1 code, admin2 code, admin3 code, admin4 code, population, elevation, dem, timezone (IANA tz id), modification date (yyyy-MM-dd). Parents come from country + admin codes (admin1CodesASCII/admin2Codes), not from hierarchy.zip. No Wikidata ids in this file: take them from alternateNamesV2 rows with isolanguage 'wkdt'. Leanest GeoNames entry point for a city layer.
geonames-cities5000	GeoNames places with population > 5,000 or first-order seats (cities5000.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/cities5000.zip	5707443	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	zip holds cities5000.txt, same layout as cities15000: 19 columns of the 'geoname' table: geonameid, name (UTF-8), asciiname, alternatenames (comma-separated, NO language tags - use geonames-alternatenames-v2 for tagged names), latitude, longitude (WGS84 decimal), feature class, feature code, country code (ISO 3166-1 alpha-2), cc2, admin1 code, admin2 code, admin3 code, admin4 code, population, elevation, dem, timezone (IANA tz id), modification date (yyyy-MM-dd). 69,752 rows today (population > 5,000 or PPLA seats; readme says ca 50,000). Superset of cities15000.
geonames-cities1000	GeoNames places with population > 1,000 or seats down to PPLA3 (cities1000.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/cities1000.zip	11051618	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	zip holds cities1000.txt, same layout: 19 columns of the 'geoname' table: geonameid, name (UTF-8), asciiname, alternatenames (comma-separated, NO language tags - use geonames-alternatenames-v2 for tagged names), latitude, longitude (WGS84 decimal), feature class, feature code, country code (ISO 3166-1 alpha-2), cc2, admin1 code, admin2 code, admin3 code, admin4 code, population, elevation, dem, timezone (IANA tz id), modification date (yyyy-MM-dd). 171,074 rows today (population > 1,000 or seats of admin divisions down to PPLA3; readme says ca 130,000). cities500.zip (13,861,895 bytes) goes further (PPLA4).
geonames-allcountries	GeoNames full gazetteer, all countries (allCountries.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	1	tsv	https://download.geonames.org/export/dump/allCountries.zip	421992046	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	zip holds allCountries.txt = 1,788,576,291 bytes UTF-8 TSV, no header (about 13.4 million rows; WHG's GeoNames index reports 13,454,817 records - not counted here). 19 columns of the 'geoname' table: geonameid, name (UTF-8), asciiname, alternatenames (comma-separated, NO language tags - use geonames-alternatenames-v2 for tagged names), latitude, longitude (WGS84 decimal), feature class, feature code, country code (ISO 3166-1 alpha-2), cc2, admin1 code, admin2 code, admin3 code, admin4 code, population, elevation, dem, timezone (IANA tz id), modification date (yyyy-MM-dd). Feature classes A H L P R S T U V; decode feature codes with featureCodes_en.txt (58,642 bytes; also _bg _nb _nn _no _ru _sv). Per-country XX.zip files allow partial loads. For incremental updates use modifications-<date>.txt and deletes-<date>.txt (in acatalogue, mark deleted rows superseded, never delete). Under the 500 MB bar but heavy: stream it; drop the alternatenames column if alternateNamesV2 is loaded.
geonames-alternatenames-v2	GeoNames alternate names with language codes and periods of use (alternateNamesV2.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society;acat/language	gazetteer	406	tsv	https://download.geonames.org/export/dump/alternateNamesV2.zip	204799163	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25; GET-range 206 (first 32 MB read)	yes	zip holds alternateNamesV2.txt (785,564,221 bytes, UTF-8 TSV, no header, about 20 million rows extrapolated) and iso-languagecodes.txt. Columns: alternateNameId, geonameid, isolanguage (ISO 639-1/2/3, optionally '-CC' or a script variant such as zh-Hant), alternate name, isPreferredName, isShortName, isColloquial, isHistoric, from, to (period of use; free text, not normalised years). Pseudo-languages carry identifiers, not names: wkdt (Wikidata QID - the main Wikidata crosswalk), link (Wikipedia URL), post, iata, icao, faac, unlc (UN/LOCODE), nuts, lauc, uicn, tcid, abbr, phon, piny, fr_1793. languages=406 is a LOWER BOUND: distinct base language codes in the first ~16% of rows (348 after 4%, still rising); 57% of rows in the first 4% had an empty language. isHistoric/from/to feed the two-time model. Daily alternateNamesModifications-/Deletes- files; the old alternateNames.zip is obsolete.
geonames-hierarchy	GeoNames parent-child hierarchy (hierarchy.zip)	GeoNames	GeoNames (crowd-sourced gazetteer aggregating national and other open sources; Switzerland)	acat/earth;acat/society	gazetteer	0	tsv	https://download.geonames.org/export/dump/hierarchy.zip	2132453	Creative Commons Attribution 4.0 License	https://download.geonames.org/export/dump/readme.txt	open	daily (whole dump directory regenerated daily; files dated 2026-09-25; daily modifications-/deletes- files)		https://www.geonames.org/	HEAD 200 2026-09-25	yes	zip holds hierarchy.txt: parentId, childId, type; 519,176 rows today: 334,585 'ADM' (the admin tree implied by admin1-4 codes), 178,631 with empty type (links entered in the GeoNames UI, e.g. continent/region memberships) and local types such as cbsa, amt, comarca. The link from a populated place to its ADM parent is NOT in this file (derive it from admin codes). A child may have several parents - fits acatalogue's multi-parent broader table. No names (languages=0).
wof-admin-sqlite	Who's On First administrative places, global SQLite distribution	Who's On First (distributions hosted by Geocode Earth)	Who's On First (open gazetteer begun at Mapzen, USA; merges many national and open sources; records lifecycle and competing claims rather than deciding them)	acat/earth;acat/society	gazetteer	292	other	https://data.geocode.earth/wof/dist/sqlite/whosonfirst-data-admin-latest.db.bz2	8596204210	Who's On First License: WOF original work CC0; properties taken from other sources keep their licences (e.g. GeoNames CC-BY, Quattroshapes CC-BY, Natural Earth public domain); crediting WOF is recommended and linking back to the License is required	https://whosonfirst.org/docs/licenses/	open	irregular rebuilds from the GitHub data repos (this file built 2025-10-14; per-country files 2025-09)	https://data.geocode.earth/wof/dist/sqlite/inventory.json	https://whosonfirst.org/	HEAD 200 2026-09-25	no	bzip2 of a 42,429,194,240-byte SQLite database - far over 500 MB. Use instead the 260 per-country files whosonfirst-data-admin-<cc>-latest.db.bz2 listed with size and sha256 in inventory.json (e.g. tr 43,023,461 bytes; fr 494,961,223; us 885,712,330). Tables: spr (id, parent_id, name, placetype continent..microhood, country, latitude, longitude, bbox, is_current, is_deprecated, is_ceased, is_superseded, superseded_by, supersedes - matches deprecate-never-delete), names (BCP 47 split into language [ISO 639-3], script, region, privateuse = preferred/variant/colloquial), ancestors, concordances (other_source gn:id, wd:id, qs_pg:id, gp:id, iso:code, hasc:id, fips:code, unlc:id), geojson (full records with geometry). languages=292 = distinct name languages in the Andorra file alone (lower bound for the global set). dist.whosonfirst.org answered 502 via the proxy; data.geocode.earth is the host the WOF download page links.
