id	title	publisher	perspective	domains	kind	languages	format	url	bytes	license	license_url	access	update	checksum_url	homepage	verified	recommend	notes
gene-ontology-basic	Gene Ontology (GO), basic edition	Gene Ontology Consortium	GO Consortium (academic, international; molecular biology and model-organism databases)	acat/life	ontology	1	obo	http://purl.obolibrary.org/obo/go/go-basic.obo	32227785	CC BY 4.0	https://geneontology.org/docs/go-citation-policy/	open	irregular, about every 1-2 months (2026 releases 01-23, 03-25, 05-19, 06-19, 08-05)		https://geneontology.org/	HEAD 200 2026-09-25	yes	PURL 302 to current.geneontology.org/ontology/go-basic.obo (build 2026-08-05, data-version releases/2026-07-26). Basic = acyclic: relations limited to is_a, part_of, regulates, negatively_regulates, positively_regulates; relations crossing the three aspects removed (GO download page). OBO 1.2; [Term] stanzas, then 5 [Typedef] stanzas at the end of the file (part_of, regulates, negatively_regulates, positively_regulates, has_ontology_root_term). Tags: id, name, namespace (biological_process, molecular_function, cellular_component), def with dbxref list, synonym with EXACT/BROAD/NARROW/RELATED, is_a, relationship, xref (RHEA, Reactome, MetaCyc, EC, Wikipedia, KEGG_REACTION...), alt_id, subset (GO slims), comment, is_obsolete with replaced_by/consider, property_value. Roots GO:0008150, GO:0003674, GO:0005575. Also go-basic.json(.gz) (obographs). GO asks users to cite the release date.
chebi-full	ChEBI ontology, full edition (chebi.obo.gz)	EMBL-EBI, ChEBI team	EMBL-EBI (intergovernmental European research institute, Hinxton UK; biology-oriented chemistry)	acat/matter;acat/life;acat/health	ontology	3	obo	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi.obo.gz	47162742	CC BY 4.0	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/LICENSE	open	monthly releases (README: current folder regenerated with each release; nightly/ folder daily); release 255 of 2026-09-09		https://www.ebi.ac.uk/chebi/	HEAD 200 2026-09-25	yes	Gzip of chebi.obo (270,898,581 B uncompressed; PURL http://purl.obolibrary.org/obo/chebi.obo). ChEBI 2.0, built with ROBOT templates. Tags: id (CHEBI:n), name, def, subset (1:STAR/2:STAR/3:STAR curation level), synonym with scopes EXACT/RELATED and types IUPAC:NAME, BRAND:NAME, http://purl.obolibrary.org/obo/chebi/INN; xref with lower-case bioregistry prefixes (cas, kegg.compound, pubmed, lincs.smallmolecule, reaxys, wikipedia.en...); is_a; relationship with CURIEs labelled by [Typedef] stanzas at the end of the file (RO:0000087 has role, RO:0018038 has functional parent, RO:0018033 is conjugate base of, RO:0018034 is conjugate acid of, RO:0018036 is tautomer of, RO:0018039 is enantiomer of, RO:0018040 has parent hydride, BFO:0000051 has part); property_value chemrof:mass, monoisotopic_mass, charge, generalized_empirical_formula, smiles_string, inchi_string, inchi_key_string; alt_id. languages=3 is an estimate: English names plus WHO INN synonyms in Latin and Spanish/Italian forms (e.g. gemcitabinum, gemcitabina) that carry no language tag. Caveat: the ontology README once calls the licence 'CC Attribution-ShareAlike 4.0' but its LICENSE file, the OBO header (terms:license) and the OBO Foundry registry all say CC BY 4.0; attribution should name ChEBI and the release number.
chebi-lite	ChEBI ontology, lite edition (chebi_lite.obo.gz)	EMBL-EBI, ChEBI team	EMBL-EBI (intergovernmental European research institute, Hinxton UK; biology-oriented chemistry)	acat/matter;acat/life;acat/health	ontology	1	obo	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi_lite.obo.gz	7852321	CC BY 4.0	https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/LICENSE	open	monthly releases; release 255 of 2026-09-09		https://www.ebi.ac.uk/chebi/	HEAD 200 2026-09-25	no	Gzip of chebi_lite.obo (55,411,092 B; PURL http://purl.obolibrary.org/obo/chebi/chebi_lite.obo). 'Only ids, name, subsets and relationships' (README): id, name, subset (star level), is_a, relationship (RO CURIEs), alt_id, a few def lines; no synonyms and no xrefs, which this pipeline wants, so prefer chebi-full. Middle option chebi_core.obo.gz (35,806,679 B) adds definitions and chemical properties but still no synonyms/xrefs. README spells the files chebi-lite/chebi-core; the real file names use underscores. Same licence caveat as chebi-full.
uberon-basic	Uberon multi-species anatomy ontology, basic edition	Uberon editors (obophenotype, OBO Foundry)	Uberon/OBO community (academic, international; comparative anatomy across animals)	acat/life;acat/health	ontology	2	obo	http://purl.obolibrary.org/obo/uberon/uberon-basic.obo	12078648	CC BY 3.0	https://raw.githubusercontent.com/obophenotype/uberon/master/LICENSE	open	irregular GitHub releases; current v2026-06-23 (data-version 2026-06-19)		http://uberon.org	HEAD 200 2026-09-25	yes	PURL redirects to github.com/obophenotype/uberon/releases/latest/download/uberon-basic.obo. 'Excludes external ontologies and most relations' (OBO registry). Tags: id, name, def, synonym with scopes and types (OMO:0003011 latin term, OMO:0003000 abbreviation, HUMAN_PREFERRED, DEVELOPMENTAL, SENSU...), xref (FMA, EMAPA, MA, SCTID, Wikipedia, UMLS, NCIT, BTO, MESH, GAID, VHOG... - rich crosswalks), is_a, relationship (part_of, develops_from, present_in_taxon/never_in_taxon pointing to NCBITaxon ids, immediate_transformation_of...), subset, is_obsolete/replaced_by/consider. languages=2: English plus Latin anatomical terms marked by synonym type OMO:0003011.
cell-ontology-basic	Cell Ontology (CL), basic edition	Cell Ontology editors (obophenotype, OBO Foundry)	CL/OBO community (academic, international; cell types across species)	acat/life;acat/health	ontology	1	obo	http://purl.obolibrary.org/obo/cl/cl-basic.obo	3347518	CC BY 4.0	https://raw.githubusercontent.com/obophenotype/cell-ontology/master/LICENSE	open	irregular GitHub releases; current 2026-06-08		https://obophenotype.github.io/cell-ontology/	HEAD 200 2026-09-25	yes	'Basic version, no inter-ontology axioms' (OBO registry): about 3,530 CL terms, links to UBERON anatomy dropped (use cl.obo with merged imports if needed). Tags: id, name, namespace, def, synonym (EXACT/RELATED/BROAD/NARROW), xref (FMA, ZFA, BTO, CALOHA, KUPO, MESH, FBbt, ILX...), is_a, relationship (mostly RO:0002202 develops_from; a few BFO:0000050 part_of), subset, property_value, creation_date, is_obsolete/replaced_by/consider.
disease-ontology	Human Disease Ontology (DO)	Disease Ontology project, Institute for Genome Sciences, University of Maryland School of Medicine	DO project (academic, US; NIH/NHGRI-funded; human disease by etiology)	acat/health	ontology	1	obo	http://purl.obolibrary.org/obo/doid.obo	7221215	CC0 1.0	https://disease-ontology.org/about/	open	GitHub releases; current 2026-08-31		https://disease-ontology.org	HEAD 200 2026-09-25	yes	PURL redirects to raw.githubusercontent.com/DiseaseOntology/HumanDiseaseOntology/main/src/ontology/doid.obo - a branch head, not a release asset; record data-version (releases/2026-08-31) with the bytes. OBO edition omits the equivalent-class axioms (OBO registry). Tags: id (DOID:n), name, def (url: sources), synonym (mostly EXACT), xref (MIM, ORDO, UMLS_CUI, MESH, GARD, ICD10CM, ICD9CM, ICDO, NCI, SNOMEDCT_US_<release-date> - the SNOMED prefix embeds a release date, normalise it), is_a, subset (DO_cancer_slim, NCIthesaurus...), alt_id, disjoint_from, is_obsolete/replaced_by, created_by/creation_date; no relationship lines in the sampled range.
mondo	Mondo Disease Ontology	Monarch Initiative (Mondo team)	Monarch Initiative (academic consortium, US/international; merges OMIM, Orphanet, DO, NCIt, GARD into one disease hierarchy)	acat/health	ontology	1	obo	http://purl.obolibrary.org/obo/mondo.obo	53134854	CC BY 4.0	https://mondo.monarchinitiative.org/pages/download/	open	GitHub releases; current v2026-09-01		https://mondo.monarchinitiative.org/	HEAD 200 2026-09-25	yes	PURL redirects to the v2026-09-01 release asset. mondo.obo embeds thousands of imported non-MONDO terms (GO, HP, CHEBI, CL, ENVO, FOODON...) used in logical definitions: keep only id prefix MONDO, or take mondo-simple.obo (47,608,279 B, PURL http://purl.obolibrary.org/obo/mondo/mondo-simple.obo, MONDO terms only, no references to external terms). OBO edition 'omits equivalence axioms; xrefs can be used as proxy for equivalence': xref qualifiers {source="MONDO:equivalentTo"} mark exact matches (OMIM, Orphanet, DOID, NCIT, MESH, UMLS, MEDGEN, GARD, icd11.foundation, SCTID, NANDO...), also property_value skos:exactMatch. Tags: id, name, def, synonym (scopes + types such as ABBREVIATION), xref, is_a with source qualifiers, relationship with named properties (excluded_subClassOf is NOT a hierarchy edge; disease_has_feature, disease_arises_from_structure, has_material_basis_in_germline_mutation_in...), subset (rare, orphanet_rare, gard_rare, otar...), is_obsolete/replaced_by/consider. A Japanese translation exists only as mondo-international.owl.
human-phenotype-ontology	Human Phenotype Ontology (HPO)	Human Phenotype Ontology Consortium / Monarch Initiative	HPO Consortium (academic, international, led from The Jackson Laboratory; clinical genetics)	acat/health	ontology	1	obo	http://purl.obolibrary.org/obo/hp.obo	10863613	HPO licence (custom): free use with citation and version display; content and logical relationships may not be altered	https://human-phenotype-ontology.github.io/license.html	open	GitHub releases; current v2026-09-01		https://hpo.jax.org/	HEAD 200 2026-09-25	no	Not an open licence: the HPO page lists three conditions - acknowledge and cite the HPO Consortium, show the date/version of HPO files displayed publicly, and do not alter the content or the logical relationships of the files; services must display an acknowledgement. The file header (terms:license) points to https://hpo.jax.org/app/license, a single-page app that returns 404 to curl, so the text was read at human-phenotype-ontology.github.io. Usable read-only with attribution; merging or crosswalk edits risk breaching the no-alteration clause. Tags: id, name, def, synonym with types layperson, uk_spelling, abbreviation, plural_form, obsolete_synonym; xref (UMLS, MEDDRA, NCIT, Fyler...), is_a, alt_id, subset, comment, is_obsolete/replaced_by/consider; no relationship lines. hp-international.obo (22,476,318 B) adds translations in 12 languages (cs, tr, nl, fr, es, ja, zh, pt, de, it, nna, tw - counted from hp-international.owl tags) but OBO drops most language tags; use hp-international.owl (209,428,804 B) for tagged labels.
environment-ontology	Environment Ontology (ENVO)	ENVO editors (EnvironmentOntology, OBO Foundry)	ENVO/OBO community (academic, international; environments, biomes and habitats for genomics and ecology)	acat/earth;acat/life	ontology	1	obo	http://purl.obolibrary.org/obo/envo.obo	2922713	CC0 1.0	https://raw.githubusercontent.com/EnvironmentOntology/envo/master/LICENSE	open	GitHub releases; current 2026-06-26		http://environmentontology.org/	HEAD 200 2026-09-25	yes	PURL redirects to raw.githubusercontent.com/EnvironmentOntology/envo/master/envo.obo (branch head; data-version releases/2026-06-26). Includes about 835 imported CHEBI terms: keep id prefix ENVO, or use envo/subsets/envo-basic.obo (2,034,421 B, ENVO terms only, readable relation names, but no data-version line). Tags: id, name, def, synonym (all four scopes), xref (FTT, Geonames, TGN, EcoLexicon, SWEETRealm, LTER, SPIRE, CMECS, NLCD, URLs - useful place and biome crosswalks), is_a, intersection_of, union_of, relationship (BFO:0000050 part_of, BFO:0000051 has_part, RO CURIEs in envo.obo), subset, disjoint_from, created_by/creation_date, is_obsolete/replaced_by/consider.
ncit-flat	NCI Thesaurus (NCIt), flat file	National Cancer Institute, Enterprise Vocabulary Services (EVS)	NCI EVS (US federal government, NIH; cancer research and clinical vocabulary)	acat/health;acat/life	thesaurus	1	tsv	https://evs.nci.nih.gov/ftp1/NCI_Thesaurus/Thesaurus.FLAT.zip	16195233	CC BY 4.0	https://evs.nci.nih.gov/ftp1/NCI_Thesaurus/ThesaurusTermsofUse.pdf	open	monthly (EVS ReadMe); current 26.08e, editing completed 2026-08-31		https://evs.nci.nih.gov/	HEAD 200 2026-09-25	yes	Zip holds Thesaurus.txt, tab-delimited, no header row: code, concept IRI, parents (pipe-separated codes), synonyms (pipe-separated; first = preferred name), definition (one), display name, concept status, semantic type(s), concept in subset. Stated hierarchy only (no inferred relations); retired concepts carry a status. Identical versioned copy Thesaurus_26.08e.FLAT.zip; OWL editions also offered; current version via https://evs.nci.nih.gov/ftp1/thesaurus-latest (JSON). 'NCI Thesaurus' is a trademark. The OBO edition http://purl.obolibrary.org/obo/ncit.obo is 248,162,694 B and older (Last-Modified 2026-03-20). The EVS FTP page is now a JavaScript browser; the file URLs above are those named in the ReadMe.
