code	broader	label	alt	scope_note	related	facets	notation	when
past		Human Past	history	The human past and how it is known: prehistory, history by period, by region and by theme, archaeology and the methods of history.	society|belief|thought
prehistory	past	Prehistory		The human past before written records. Writing arose at different times in different places, so where prehistory ends differs by region.	archaeology|human-evolution
palaeolithic	prehistory	Palaeolithic	Old Stone Age	From the earliest known stone tools, about 3.3 million years ago, to the end of the last glacial period, about 12,000 years ago.	rock-art			-3300000/-9700
neolithic	prehistory	Neolithic and the beginnings of farming	agricultural revolution	The shift to farming and settled village life, which began independently in several regions and at different times from about 12,000 years ago.	crop-farming|pastoralism-and-livestock
early-human-dispersals	prehistory	Early human dispersals	out of Africa	The spread of humans out of Africa and across every continent except Antarctica, including the peopling of Sahul and the Americas.	human-evolution|migration-and-diaspora
history-by-period	past	World history by period		The whole world's history divided into dated spans (Common Era years). Named periods such as 'Middle Ages' or 'Edo period' are regional labels and belong to regions, not to this axis.
period-before-3000bce	history-by-period	Before 3000 BCE		The world before about 3000 BCE, including the first cities and the first writing in Mesopotamia and Egypt toward its end.				../-3000
period-3000-2001bce	history-by-period	3rd millennium BCE		The world from 3000 to 2001 BCE.				-2999/-2000
period-2000-1001bce	history-by-period	2nd millennium BCE		The world from 2000 to 1001 BCE.				-1999/-1000
period-1000-1bce	history-by-period	1st millennium BCE		The world from 1000 to 1 BCE.				-999/0
period-1-1000	history-by-period	1st millennium CE		The world from 1 to 1000 CE.				1/1000
period-1001-1500	history-by-period	11th to 15th centuries		The world from 1001 to 1500 CE.				1001/1500
period-1501-1800	history-by-period	16th to 18th centuries		The world from 1501 to 1800 CE.				1501/1800
period-1801-1900	history-by-period	19th century		The world from 1801 to 1900 CE.				1801/1900
period-1901-2000	history-by-period	20th century		The world from 1901 to 2000 CE.				1901/2000
period-2001-present	history-by-period	21st century		The world from 2001 CE to the present.				2001/..
history-by-region	past	History by region		History of each world region, following the UN M49 regional divisions, plus the oceans that connect them.	political-geography
history-of-africa	history-by-region	History of Africa		The history of the African continent and its peoples.		space/m49-002
history-of-northern-africa	history-of-africa	History of Northern Africa		History of the region from the Nile valley to the Maghreb.		space/m49-015
history-of-western-africa	history-of-africa	History of Western Africa		History of the region from the Sahel to the Gulf of Guinea.		space/m49-011
history-of-eastern-africa	history-of-africa	History of Eastern Africa		History of the region from the Horn of Africa to the Swahili coast and the Indian Ocean islands.		space/m49-014
history-of-middle-africa	history-of-africa	History of Central Africa	Middle Africa	History of the Congo basin and neighbouring lands (M49: Middle Africa).		space/m49-017
history-of-southern-africa	history-of-africa	History of Southern Africa		History of the southern end of the African continent.		space/m49-018
history-of-the-americas	history-by-region	History of the Americas		The history of North, Central and South America and the Caribbean.		space/m49-019
history-of-northern-america	history-of-the-americas	History of Northern America		History of the northern part of the Americas (M49: Northern America).		space/m49-021
history-of-central-america	history-of-the-americas	History of Central America		History of the isthmus from Mexico to Panama (M49: Central America).		space/m49-013
history-of-the-caribbean	history-of-the-americas	History of the Caribbean		History of the Caribbean islands and their peoples.		space/m49-029
history-of-south-america	history-of-the-americas	History of South America		History of the South American continent.		space/m49-005
history-of-asia	history-by-region	History of Asia		The history of the Asian continent and its peoples.		space/m49-142
history-of-central-asia	history-of-asia	History of Central Asia		History of the steppe and oasis lands of Central Asia.		space/m49-143
history-of-eastern-asia	history-of-asia	History of Eastern Asia		History of the region including China, Japan, Korea and Mongolia.		space/m49-030
