code	broader	label	alt	scope_note	related	facets	notation	when
propaedia		Propædia: Outline of Knowledge	Propaedia	The Encyclopædia Britannica's Outline of Knowledge (1974), led by Mortimer J. Adler. Its ten parts form a 'circle of learning' in which any part can be the starting point. Part titles checked against Wikipedia's 'Propædia' article.
1	propaedia	Matter and Energy					1
2	propaedia	The Earth					2
3	propaedia	Life on Earth					3
4	propaedia	Human Life					4
5	propaedia	Human Society					5
6	propaedia	Art					6
7	propaedia	Technology					7
8	propaedia	Religion					8
9	propaedia	The History of Mankind					9
10	propaedia	The Branches of Knowledge					10
